,neighbourhood_group,room_type,price,property_type,accommodates,bedrooms,bathrooms
0,Manhattan,Entire home/apt,225,Entire Unit,1,0.0,1.0
2,Manhattan,Private room,79,Private Room,2,1.0,1.0
4,Brooklyn,Private room,89,Private Room,2,1.0,1.5
5,Brooklyn,Entire home/apt,140,Entire Unit,3,0.0,1.0
6,Brooklyn,Entire home/apt,215,Entire Unit,4,1.0,1.0
8,Brooklyn,Entire home/apt,120,Entire Unit,5,1.0,1.0
9,Manhattan,Entire home/apt,150,Entire Unit,2,0.0,1.0
10,Manhattan,Private room,52,Private Room,2,1.0,1.0
11,Brooklyn,Private room,70,Private Room,3,1.0,1.0
12,Brooklyn,Private room,89,Private Room,2,1.0,1.0
13,Brooklyn,Private room,150,Private Room,1,1.0,1.0
14,Manhattan,Private room,68,Private Room,2,1.0,1.0
15,Queens,Private room,130,Private Room,4,1.0,1.0
16,Brooklyn,Entire home/apt,110,Entire Unit,2,1.0,1.0
17,Brooklyn,Private room,80,Private Room,2,1.0,1.0
18,Brooklyn,Entire home/apt,228,Entire Unit,2,2.0,1.0
19,Brooklyn,Entire home/apt,144,Entire Unit,2,1.0,1.0
20,Manhattan,Entire home/apt,180,Entire Unit,3,1.0,1.0
21,Brooklyn,Private room,80,Private Room,1,1.0,1.0
23,Brooklyn,Entire home/apt,200,Entire Unit,4,4.0,2.0
24,Manhattan,Private room,80,Private Room,2,1.0,1.0
25,Manhattan,Private room,99,Private Room,1,1.0,1.0
27,Manhattan,Entire home/apt,230,Entire Unit,2,1.0,1.0
28,Manhattan,Private room,65,Private Room,2,1.0,1.0
29,Manhattan,Private room,200,Private Room,2,2.0,1.0
30,Manhattan,Private room,150,Private Room,3,1.0,1.5
31,Manhattan,Entire home/apt,110,Entire Unit,2,2.0,1.0
32,Brooklyn,Entire home/apt,105,Entire Unit,2,1.0,1.0
34,Manhattan,Entire home/apt,140,Private Room,2,1.0,1.0
35,Manhattan,Private room,89,Private Room,1,1.0,1.0
36,Manhattan,Private room,98,Private Room,2,1.0,1.0
37,Brooklyn,Entire home/apt,175,Entire Unit,2,1.0,1.0
39,Brooklyn,Entire home/apt,220,Entire Unit,5,4.0,3.0
40,Brooklyn,Entire home/apt,80,Entire Unit,4,1.0,1.0
41,Manhattan,Private room,100,Private Room,2,1.0,1.0
42,Brooklyn,Entire home/apt,120,Entire Unit,2,1.0,1.0
43,Manhattan,Entire home/apt,170,Entire Unit,6,1.0,1.0
45,Manhattan,Entire home/apt,150,Entire Unit,4,1.0,1.0
46,Brooklyn,Private room,70,Private Room,2,1.0,1.0
47,Brooklyn,Private room,89,Private Room,2,1.0,1.0
48,Manhattan,Entire home/apt,185,Entire Unit,3,1.0,1.0
49,Manhattan,Private room,130,Private Room,1,1.0,1.0
50,Manhattan,Entire home/apt,115,Entire Unit,2,0.0,1.0
51,Brooklyn,Private room,77,Private Room,2,3.0,1.0
52,Brooklyn,Private room,76,Private Room,2,1.0,1.0
53,Brooklyn,Private room,135,Private Room,3,1.0,1.5
54,Brooklyn,Entire home/apt,195,Entire Unit,2,1.0,1.0
55,Manhattan,Private room,69,Private Room,2,1.0,1.0
56,Manhattan,Entire home/apt,225,Entire Unit,2,1.0,1.0
