,neighbourhood_group,room_type,property_type,accommodates,bedrooms,bathrooms,log_price
0,Manhattan,Entire home/apt,Entire Unit,1,0.0,1.0,5.41610040220442
2,Manhattan,Private room,Private Room,2,1.0,1.0,4.3694478524670215
4,Brooklyn,Private room,Private Room,2,1.0,1.5,4.48863636973214
5,Brooklyn,Entire home/apt,Entire Unit,3,0.0,1.0,4.941642422609304
6,Brooklyn,Entire home/apt,Entire Unit,4,1.0,1.0,5.3706380281276624
8,Brooklyn,Entire home/apt,Entire Unit,5,1.0,1.0,4.787491742782046
9,Manhattan,Entire home/apt,Entire Unit,2,0.0,1.0,5.0106352940962555
10,Manhattan,Private room,Private Room,2,1.0,1.0,3.9512437185814275
11,Brooklyn,Private room,Private Room,3,1.0,1.0,4.248495242049359
12,Brooklyn,Private room,Private Room,2,1.0,1.0,4.48863636973214
13,Brooklyn,Private room,Private Room,1,1.0,1.0,5.0106352940962555
14,Manhattan,Private room,Private Room,2,1.0,1.0,4.219507705176107
15,Queens,Private room,Private Room,4,1.0,1.0,4.867534450455582
16,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.0,4.700480365792417
17,Brooklyn,Private room,Private Room,2,1.0,1.0,4.382026634673881
18,Brooklyn,Entire home/apt,Entire Unit,2,2.0,1.0,5.429345628954441
19,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.0,4.969813299576001
20,Manhattan,Entire home/apt,Entire Unit,3,1.0,1.0,5.19295685089021
21,Brooklyn,Private room,Private Room,1,1.0,1.0,4.382026634673881
23,Brooklyn,Entire home/apt,Entire Unit,4,4.0,2.0,5.298317366548036
24,Manhattan,Private room,Private Room,2,1.0,1.0,4.382026634673881
25,Manhattan,Private room,Private Room,1,1.0,1.0,4.59511985013459
27,Manhattan,Entire home/apt,Entire Unit,2,1.0,1.0,5.438079308923196
28,Manhattan,Private room,Private Room,2,1.0,1.0,4.174387269895637
29,Manhattan,Private room,Private Room,2,2.0,1.0,5.298317366548036
30,Manhattan,Private room,Private Room,3,1.0,1.5,5.0106352940962555
31,Manhattan,Entire home/apt,Entire Unit,2,2.0,1.0,4.700480365792417
32,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.0,4.653960350157523
34,Manhattan,Entire home/apt,Private Room,2,1.0,1.0,4.941642422609304
35,Manhattan,Private room,Private Room,1,1.0,1.0,4.48863636973214
36,Manhattan,Private room,Private Room,2,1.0,1.0,4.584967478670572
