id,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds
2595,Entire rental unit,Entire home/apt,1,1 bath,,1
5121,Private room in rental unit,Private room,2,,1,1
5136,Entire rental unit,Entire home/apt,4,1.5 baths,2,2
5178,Private room in rental unit,Private room,2,1 bath,1,1
5203,Private room in rental unit,Private room,1,1 shared bath,1,1
5803,Private room in townhouse,Private room,2,1.5 baths,1,1
6848,Entire rental unit,Entire home/apt,3,1 bath,,1
6872,Private room in condo,Private room,1,1 shared bath,1,1
6990,Private room in rental unit,Private room,1,1 shared bath,1,1
7064,Private room in loft,Private room,2,1 shared bath,1,1
7097,Entire guest suite,Entire home/apt,4,1 bath,1,2
7801,Entire loft,Entire home/apt,4,1 bath,,2
8490,Entire loft,Entire home/apt,5,1 bath,1,4
9357,Entire rental unit,Entire home/apt,2,1 bath,,1
9704,Private room in rental unit,Private room,2,1 shared bath,1,1
10452,Private room in rental unit,Private room,3,1 shared bath,1,2
10962,Private room in townhouse,Private room,2,1 shared bath,1,2
11943,Private room in home,Private room,1,1 bath,1,2
12192,Private room in rental unit,Private room,2,1 shared bath,1,1
12937,Private room in townhouse,Private room,4,1 private bath,1,2
12940,Entire rental unit,Entire home/apt,2,1 bath,1,1
13808,Private room in townhouse,Private room,2,1 private bath,1,1
14290,Entire loft,Entire home/apt,2,1 bath,2,2
14314,Entire rental unit,Entire home/apt,2,1 bath,1,2
14434,Private room in rental unit,Private room,2,1 shared bath,1,1
15341,Entire condo,Entire home/apt,3,1 bath,1,2
15385,Private room in rental unit,Private room,1,1 shared bath,1,1
15396,Entire rental unit,Entire home/apt,4,2 baths,2,2
16326,Entire condo,Entire home/apt,4,2 baths,4,4
16580,Private room in condo,Private room,2,1 shared bath,1,1
16821,Private room in rental unit,Private room,1,1 shared bath,1,1
16974,Entire loft,Entire home/apt,8,2 baths,4,6
17037,Entire rental unit,Entire home/apt,2,1 bath,1,1
17693,Private room in rental unit,Private room,2,1 shared bath,1,2
18152,Private room in rental unit,Private room,2,1 shared bath,2,1
18728,Private room in loft,Private room,3,1.5 baths,1,1
18961,Private room in rental unit,Private room,2,1 bath,1,1
19159,Entire rental unit,Entire home/apt,2,1 bath,2,2
19812,Entire rental unit,Entire home/apt,2,1 bath,1,1
20913,Entire rental unit,Entire home/apt,2,1 bath,1,1
21456,Private room in rental unit,Private room,2,1 private bath,1,1
21644,Private room in rental unit,Private room,1,1 shared bath,1,1
21794,Private room in rental unit,Private room,2,1 shared bath,1,1
23135,Entire rental unit,Entire home/apt,2,1 bath,1,1
23686,Entire home,Entire home/apt,4,2 baths,3,3
24285,Entire rental unit,Entire home/apt,5,3 baths,4,6
25406,Entire rental unit,Entire home/apt,4,1 bath,1,2
25696,Private room in rental unit,Private room,2,1 shared bath,1,1
